rank,salary,cost,LSAT,GPA,libvol,faculty,age,clsize,north,south,east,west,lsalary,studfac,top10,r11_25,r26_40,r41_60,llibvol,lcost
128,31400,8340,155,3.150000095,216,45,12,210,1,0,0,0,10.35456276,4.666666508,0,0,0,0,5.375278473,9.02881813
104,33098,6980,160,3.5,256,44,113,190,0,1,0,0,10.40722847,4.318181992,0,0,0,0,5.54517746,8.850804329
34,32870,16370,155,3.25,424,78,134,270,0,0,1,0,10.40031528,3.461538553,0,0,1,0,6.049733639,9.703206062
49,35000,17566,157,3.200000048,329,136,89,277,0,0,1,0,10.46310329,2.036764622,0,0,0,1,5.796057701,9.773720741
95,33606,8350,162,3.380000114,332,56,70,150,0,0,0,1,10.4224596,2.678571463,0,0,0,0,5.805134773,9.030016899
98,31700,8350,161,3.400000095,311,40,29,156,0,0,0,1,10.36407185,3.900000095,0,0,0,0,5.739792824,9.030016899
124,30410,6020,155,3.160000086,220,40,61,151,0,1,0,0,10.32252693,3.775000095,0,0,0,0,5.393627644,8.702842712
157,30150,5986,152,3.119999886,230,45,60,149,0,1,0,0,10.31394005,3.311111212,0,0,0,0,5.438079357,8.697178841
145,31300,4785,155,3.119999886,230,101,70,322,0,0,1,0,10.35137367,3.188118696,0,0,0,0,5.438079357,8.473240852
91,33200,7680,160,3.660000086,157,44,128,70,0,1,0,0,10.41030502,1.590909123,0,0,0,0,5.056245804,8.946374893
50,34900,17720,165,3.549999952,320,78,56,269,0,0,1,0,10.46024227,3.448717833,0,0,0,1,5.768321037,9.782448769
23,55413,16160,163,3.420000076,470,128,115,381,0,0,1,0,10.92256927,2.9765625,0,1,0,0,6.152732849,9.690294266
78,33750,6300,162,3.599999905,330,48,,153,0,0,0,1,10.42673588,3.1875,0,0,0,0,5.79909277,8.748305321
5,65000,11387,167,3.700000048,600,80,,269,0,0,0,1,11.08214283,3.362499952,1,0,0,0,6.396929741,9.340228081
27,,12058,164,3.450000048,371,38,20,160,0,0,0,1,,4.210526466,0,0,1,0,5.916202068,9.397483826
19,62000,12478,163,3.549999952,542,114,107,419,0,0,0,1,11.03488922,3.675438643,0,1,0,0,6.295266151,9.431722641
13,63000,12202,165,3.569999933,470,96,,350,0,0,0,1,11.05088997,3.645833254,0,1,0,0,6.152732849,9.409355164
115,31300,15700,156,3.200000048,208,80,,375,0,0,0,1,10.35137367,4.6875,0,0,0,0,5.337538242,9.661416054
171,28500,11750,156,3.200000048,147,35,9,119,0,0,1,0,10.25765896,3.400000095,0,0,0,0,4.990432739,9.371608734
131,30100,12927,154,3.25,215,31,,262,1,0,0,0,10.31228065,8.451612473,0,0,0,0,5.370637894,9.467073441
72,33650,16545,160,3.299999952,352,72,,255,0,0,1,0,10.42376804,3.541666746,0,0,0,0,5.863631248,9.713839531
55,40325,16680,158,3.299999952,305,,93,220,1,0,0,0,10.60472679,,0,0,0,1,5.720311642,9.72196579
4,70000,19392,168,3.75,555,40,,178,1,0,0,0,11.15625095,4.449999809,1,0,0,0,6.318968296,9.872615814
90,32800,11268,162,3.369999886,339,51,152,134,1,0,0,0,10.39818382,2.627450943,0,0,0,0,5.826000214,9.329722404
133,,10808,,,290,72,26,300,1,0,0,0,,4.166666508,0,0,0,0,5.669880867,9.288042068
65,35000,12537,164,3.309999943,280,62,,167,0,0,0,1,10.46310329,2.693548441,0,0,0,0,5.634789467,9.436439514
7,78325,20518,168,3.599999905,735,101,,345,0,0,1,0,11.2686224,3.415841579,1,0,0,0,6.599870682,9.929058075
84,,16036,160,3.289999962,383,95,,133,0,0,1,0,,1.399999976,0,0,0,0,5.948034763,9.682591438
10,67500,19200,163,3.549999952,400,56,,191,0,0,1,0,11.11988258,3.410714388,1,0,0,0,5.991464615,9.862665176
112,,12376,154,3.200000048,198,51,107,188,0,0,0,1,,3.686274529,0,0,0,0,5.288267136,9.423514366
137,29800,13850,156,3.099999905,210,58,38,235,0,1,0,0,10.30226326,4.051723957,0,0,0,0,5.34710741,9.536040306
141,28900,13384,155,3.200000048,208,27,,185,1,0,0,0,10.27159691,6.85185194,0,0,0,0,5.337538242,9.501814842
47,42300,15221,158,3.200000048,275,83,,341,0,0,0,1,10.65254211,4.108433723,0,0,0,1,5.616771221,9.630431175
82,32900,14115,158,3.269999981,312,109,,373,1,0,0,0,10.40122795,3.42201829,0,0,0,0,5.743003368,9.554993629
144,29200,,155,3,200,60,94,146,1,0,0,0,10.28192425,2.433333397,0,0,0,0,5.298317432,
76,34500,12500,155,3.299999952,190,28,73,,1,0,0,0,10.44871426,,0,0,0,0,5.247024059,9.433484077
94,,12200,156,3.400000095,325,61,151,177,0,0,1,0,,2.901639462,0,0,0,0,5.783825397,9.409191132
88,32300,13780,155,3.230000019,240,65,120,234,0,0,0,1,10.38282204,3.599999905,0,0,0,0,5.480638981,9.530973434
9,60172,19016,169,3.700000048,450,82,,96,0,0,1,0,11.00496197,1.170731664,1,0,0,0,6.109247684,9.853035927
89,32093,10353,,,192,58,74,200,0,0,1,0,10.37639332,3.448275805,0,0,0,0,5.257495403,9.245031357
43,46103,17170,163,3.400000095,260,78,149,236,0,1,0,0,10.73863316,3.025640965,0,0,0,1,5.56068182,9.750919342
59,,12570,162,3.529999971,530,68,76,200,0,1,0,0,,2.941176414,0,0,0,1,6.272877216,9.439067841
81,33900,11400,158,3.299999952,346,58,24,204,0,1,0,0,10.43117046,3.517241478,0,0,0,0,5.846438885,9.341368675
22,64880,17900,163,3.299999952,410,187,144,547,0,0,1,0,11.08029461,2.925133705,0,1,0,0,6.01615715,9.792555809
142,29336,12100,154,3,186,51,12,134,0,0,1,0,10.28657055,2.627450943,0,0,0,0,5.225746632,9.400960922
127,,16212,160,3.269999981,260,50,6,251,0,0,1,0,,5.019999981,0,0,0,0,5.56068182,9.693507195
31,61000,17650,163,3.50999999,403,196,120,475,0,0,1,0,11.01862907,2.423469305,0,0,1,0,5.998936653,9.77849102
18,62705,18995,166,3.519999981,728,245,61,643,0,0,1,0,11.04619694,2.624489784,0,1,0,0,6.590301037,9.851930618
